Key Signatures,Tempo,Valence,Instrumentalness,Recommended Songs
"['A major', 'C major']",Fast,High,Low,"['Shape of You - Ed Sheeran', 'Blinding Lights - The Weeknd', 'Uptown Funk - Mark Ronson ft. Bruno Mars', 'Can’t Stop the Feeling! - Justin Timberlake', 'Happy - Pharrell Williams']"
"['B minor', 'E minor']",Medium,Low,High,"['Lose Yourself to Dance - Daft Punk', 'Strobe - Deadmau5', 'Ghosts n Stuff - Deadmau5', 'Nero - Promises', 'Above & Beyond - Sun & Moon']"
"['C major', 'G major']",Slow,High,Low,"['Someone Like You - Adele', 'Let Her Go - Passenger', 'All of Me - John Legend', 'Stay with Me - Sam Smith', 'Thinking Out Loud - Ed Sheeran']"
"['D minor', 'F major']",Fast,Low,High,"['Voodoo Child - Jimi Hendrix', 'Kashmir - Led Zeppelin', 'Black Sabbath - Black Sabbath', 'Highway to Hell - AC/DC', 'Iron Man - Black Sabbath']"
"['E major', 'A minor']",Medium,High,Low,"['Rolling in the Deep - Adele', 'Chandelier - Sia', 'Bad Romance - Lady Gaga', 'Firework - Katy Perry', 'Shake It Off - Taylor Swift']"
"['A Minor', 'E Minor', 'D Minor']",Slow,Low,High or Low,"['MOOD ELEVATION: Mood Support,  Music For Persistent Depression, Anxiety, Natural Help', '&quot;Instant Relief From Anxiety &amp; Stress&quot; Peaceful Meditation Music, Deep Relaxing &amp; Healing Music', 'Instant Relief from Stress and Anxiety | Detox Negative Emotions, Calm Nature Healing Sleep Music★58', 'Relaxing Music to Relieve Stress, Anxiety and Depression • Mind, Body 🐬 Soothing music for nerves', 'Sleepy Hallow - A N X I E T Y (Official Video) ft. Doechii']"
"['A Minor', 'E Minor', 'D Minor']",Slow,Low,High or Low,"['MOOD ELEVATION: Mood Support,  Music For Persistent Depression, Anxiety, Natural Help', '&quot;Instant Relief From Anxiety &amp; Stress&quot; Peaceful Meditation Music, Deep Relaxing &amp; Healing Music', 'Instant Relief from Stress and Anxiety | Detox Negative Emotions, Calm Nature Healing Sleep Music★58', '24/7 Music for Cats 🔴 Relaxing Cat Music for Anti-Anxiety, Mood &amp; Sleep', 'Sleepy Hallow - A N X I E T Y (Official Video) ft. Doechii']"
"['A Minor', 'E Minor', 'D Minor']",Slow,Low,High or Low,"['MOOD ELEVATION: Mood Support,  Music For Persistent Depression, Anxiety, Natural Help', '&quot;Instant Relief From Anxiety &amp; Stress&quot; Peaceful Meditation Music, Deep Relaxing &amp; Healing Music', 'Instant Relief from Stress and Anxiety | Detox Negative Emotions, Calm Nature Healing Sleep Music★58', 'Relaxing Music to Relieve Stress, Anxiety and Depression • Mind, Body 🐬 Soothing music for nerves', 'Cinematic Background Music | Anxious Mood Instrumental Music | Free Music by Argsound']"
"['A Minor', 'E Minor', 'D Minor']",Slow,Low,High or Low,"['MOOD ELEVATION: Mood Support,  Music For Persistent Depression, Anxiety, Natural Help', '&quot;Instant Relief From Anxiety &amp; Stress&quot; Peaceful Meditation Music, Deep Relaxing &amp; Healing Music', 'Instant Relief from Stress and Anxiety | Detox Negative Emotions, Calm Nature Healing Sleep Music★58', 'Relaxing Music to Relieve Stress, Anxiety and Depression • Mind, Body 🐬 Soothing music for nerves', 'Sleepy Hallow - A N X I E T Y (Official Video) ft. Doechii']"
"['A Minor', 'E Minor', 'D Minor']",Slow,Low,High or Low,"['MOOD ELEVATION: Mood Support,  Music For Persistent Depression, Anxiety, Natural Help', '&quot;Instant Relief From Anxiety &amp; Stress&quot; Peaceful Meditation Music, Deep Relaxing &amp; Healing Music', 'Instant Relief from Stress and Anxiety | Detox Negative Emotions, Calm Nature Healing Sleep Music★58', 'Cinematic Background Music | Anxious Mood Instrumental Music | Free Music by Argsound', '24/7 Music for Cats 🔴 Relaxing Cat Music for Anti-Anxiety, Mood &amp; Sleep']"
"['A Minor', 'E Minor', 'D Minor']",Slow,Low,High or Low,"['MOOD ELEVATION: Mood Support,  Music For Persistent Depression, Anxiety, Natural Help', '&quot;Instant Relief From Anxiety &amp; Stress&quot; Peaceful Meditation Music, Deep Relaxing &amp; Healing Music', 'Instant Relief from Stress and Anxiety | Detox Negative Emotions, Calm Nature Healing Sleep Music★58', 'Relaxing Music to Relieve Stress, Anxiety and Depression • Mind, Body 🐬 Soothing music for nerves', '24/7 Music for Cats 🔴 Relaxing Cat Music for Anti-Anxiety, Mood &amp; Sleep']"
